电影院名称,电影院地址,电影院电话,电影院链接
松潘太平洋电影院,松潘县新区政府五号楼,15983724586,https://dianying.taobao.com/cinemaDetail.htm?cinemaId=43624&n_s=new
汶川团团影城,汶川县威州镇中轴线9号楼1楼,0837-8860123,https://dianying.taobao.com/cinemaDetail.htm?cinemaId=44026&n_s=new
电影院名称,电影院地址,电影院电话,电影院链接
中数国际影城太百店,阿克苏市新华东路33-1号太百购物中心5楼,0997-7777168,https://dianying.taobao.com/cinemaDetail.htm?cinemaId=35169&n_s=new
阿克苏花儿朵朵影城,阿克苏市多浪河二期姑墨城对面地区工人文化宫5楼,0997-7777278,https://dianying.taobao.com/cinemaDetail.htm?cinemaId=58120&n_s=new
温宿县天虹影院,温宿县西大街1号天虹影城,13899216617,https://dianying.taobao.com/cinemaDetail.htm?cinemaId=44757&n_s=new
电影院名称,电影院地址,电影院电话,电影院链接
中影国际影院,阿拉善左旗巴镇中盟财富广场1-5-201,0483-3989998,https://dianying.taobao.com/cinemaDetail.htm?cinemaId=52978&n_s=new
太平洋电影院,阿拉善左旗安德街西侧额鲁特路南侧维也纳国际酒店9-10层,0483-3962222,https://dianying.taobao.com/cinemaDetail.htm?cinemaId=45478&n_s=new
太西摩天影都,阿拉善左旗巴彦浩特镇太西大厦五楼,0483-8888888,https://dianying.taobao.com/cinemaDetail.htm?cinemaId=44126&n_s=new
电影院名称,电影院地址,电影院电话,电影院链接
白河县艺诚数字影院,白河县城关镇书院北路19号,0915-7812010,https://dianying.taobao.com/cinemaDetail.htm?cinemaId=43814&n_s=new
大地影院（安康金客隆店）,汉滨区兴安中路54号金客隆大厦7楼,0915-8163222,https://dianying.taobao.com/cinemaDetail.htm?cinemaId=16961&n_s=new
首映国际影城安康天一城市广场店,汉滨区天一城市广场A区3楼,0915-8951222,https://dianying.taobao.com/cinemaDetail.htm?cinemaId=42433&n_s=new
安康恒口时光影城,汉滨区恒口示范区农贸街54号,0915-3619998,https://dianying.taobao.com/cinemaDetail.htm?cinemaId=41644&n_s=new
新威尼斯国际影城（金州路南方新世纪店）,汉滨区金州南路79号南方新世纪6楼,0915-3338889,https://dianying.taobao.com/cinemaDetail.htm?cinemaId=6198&n_s=new
星美影商城（安康汉城店）,汉滨区滨江大道3号汉城国际商业街4楼,0915-3362266,https://dianying.taobao.com/cinemaDetail.htm?cinemaId=35864&n_s=new
安康美莎国际影城（解放路店）,汉滨区解放路22号,0915-8888818,https://dianying.taobao.com/cinemaDetail.htm?cinemaId=31677&n_s=new
安康佰纳影城,汉滨区兴安中路38号大千印象城2层,0915-2111918,https://dianying.taobao.com/cinemaDetail.htm?cinemaId=46270&n_s=new
